time_s,bpm,ax,ay,az,gx,gy,gz,temp,motion,ts_ms
1.787,0,-0.223,-0.109,1.112,1.2,0.4,-0.3,25.3,0,2994588
1.788,0,-0.225,-0.108,1.112,1.3,0.4,-0.3,25.3,0,2994598
1.789,0,-0.223,-0.107,1.113,1.2,0.3,-0.3,25.3,0,2994608
1.790,0,-0.224,-0.108,1.111,1.2,0.3,-0.3,25.3,0,2994618
1.791,0,-0.226,-0.107,1.109,1.2,0.3,-0.3,25.3,0,2994628
1.792,0,-0.223,-0.109,1.112,1.2,0.3,-0.2,25.3,0,2994638
1.793,0,-0.225,-0.108,1.11,1.2,0.2,-0.3,25.3,0,2994648
1.795,0,-0.225,-0.109,1.11,1.2,0.3,-0.3,25.3,0,2994658
1.796,0,-0.222,-0.108,1.113,1.2,0.3,-0.2,25.3,0,2994668
1.797,0,-0.222,-0.111,1.11,1.1,0.3,-0.2,25.3,0,2994678
1.798,0,-0.226,-0.111,1.111,1.2,0.4,-0.3,25.3,0,2994688
1.799,0,-0.226,-0.111,1.111,1.2,0.4,-0.3,25.3,0,2994700
1.800,0,-0.226,-0.111,1.111,1.2,0.4,-0.3,25.3,0,2994710
1.801,0,-0.226,-0.111,1.111,1.2,0.4,-0.3,25.3,0,2994720
1.802,0,-0.226,-0.111,1.111,1.2,0.4,-0.3,25.3,0,2994730
1.803,0,-0.226,-0.111,1.111,1.2,0.4,-0.3,25.3,0,2994740
1.804,0,-0.226,-0.111,1.111,1.2,0.4,-0.3,25.3,0,2994750
1.805,0,-0.226,-0.111,1.111,1.2,0.4,-0.3,25.3,0,2994760
1.806,0,-0.226,-0.111,1.111,1.2,0.4,-0.3,25.3,0,2994770
1.807,0,-0.226,-0.111,1.111,1.2,0.4,-0.3,25.3,0,2994780
1.808,0,-0.224,-0.108,1.111,1.2,0.3,-0.3,25.3,0,2994792
1.809,0,-0.224,-0.108,1.111,1.2,0.3,-0.3,25.3,0,2994798
1.810,0,-0.223,-0.107,1.112,1.2,0.3,-0.3,25.3,0,2994808
1.812,0,-0.226,-0.108,1.113,1.2,0.3,-0.3,25.3,0,2994818
1.813,0,-0.225,-0.108,1.118,1.2,0.3,-0.3,25.3,0,2994828
1.814,0,-0.224,-0.109,1.115,1.2,0.3,-0.3,25.3,0,2994838
1.815,0,-0.225,-0.109,1.11,1.2,0.3,-0.3,25.3,0,2994848
1.816,0,-0.222,-0.11,1.109,1.2,0.3,-0.3,25.3,0,2994858
1.817,0,-0.223,-0.11,1.11,1.2,0.3,-0.3,25.3,0,2994868
1.818,0,-0.224,-0.109,1.108,1.2,0.3,-0.3,25.3,0,2994878
1.819,0,-0.223,-0.109,1.113,1.2,0.4,-0.3,25.3,0,2994888
1.820,0,-0.222,-0.108,1.112,1.3,0.3,-0.3,25.3,0,2994898
1.821,0,-0.22,-0.108,1.111,1.2,0.3,-0.3,25.3,0,2994908
1.822,0,-0.227,-0.109,1.113,1.2,0.4,-0.3,25.3,0,2994918
1.823,0,-0.224,-0.109,1.115,1.2,0.4,-0.3,25.3,0,2994928
1.824,0,-0.225,-0.109,1.109,1.2,0.3,-0.3,25.3,0,2994938
1.825,0,-0.226,-0.108,1.11,1.2,0.4,-0.3,25.3,0,2994948
1.826,0,-0.228,-0.106,1.106,1.2,0.3,-0.3,25.3,0,2994958
1.827,0,-0.23,-0.103,1.088,1.2,-0.1,-0.3,25.3,0,2994968
1.829,0,-0.224,-0.107,1.101,1.0,-0.4,-0.3,25.3,0,2994978
1.830,0,-0.216,-0.119,1.169,1.2,-0.4,-0.3,25.3,0,2994988
1.831,0,-0.214,-0.117,1.157,1.2,0.4,-0.2,25.3,0,2994998
1.832,0,-0.231,-0.101,1.074,1.4,0.7,-0.2,25.3,0,2995008
1.833,0,-0.224,-0.106,1.108,1.5,0.3,-0.3,25.3,0,2995018
1.834,0,-0.223,-0.108,1.12,1.4,0.2,-0.3,25.3,0,2995028
1.835,0,-0.223,-0.11,1.112,1.1,0.2,-0.3,25.3,0,2995038
